作家名,年月日,生没
横瀬 夜雨,1月1日,生
木下 利玄,1月1日,生
中浜 哲,1月1日,生
鶴 彬,1月1日,生
今村 明恒,1月1日,没
伊丹 万作,1月2日,生
吉井 幸蔵,1月2日,生
坂本 竜馬,1月3日,生
石原 忍,1月3日,没
夢野 久作,1月4日,生
池田 輝方,1月4日,生
風巻 景次郎,1月4日,没
三木 清,1月5日,生
津村 信夫,1月5日,生
沖野 岩三郎,1月5日,生
山本 実彦,1月5日,生
加藤 文太郎,1月5日,没
蘭 郁二郎,1月5日,没
松井 須磨子,1月5日,没
松濤 明,1月6日,没
登張 竹風,1月6日,没
宇田川 文海,1月6日,没
白柳 秀湖,1月7日,生
吉田 甲子太郎,1月8日,没
高祖 保,1月8日,没
柳川 春葉,1月9日,没
尾崎 紅葉,1月10日,生
田中 英光,1月10日,生
山村 暮鳥,1月10日,生
加能 作次郎,1月10日,生
福沢 諭吉,1月10日,生
織田 作之助,1月10日,没
伊良子 清白,1月10日,没
三木 竹二,1月10日,没
仁科 芳雄,1月10日,没
内山 完造,1月11日,生
生田 長江,1月11日,没
光田 健輔,1月12日,生
竹越 三叉,1月12日,没
竹越 与三郎,1月12日,没
岡田 三郎助,1月12日,没
大坪 砂男,1月12日,没
肝付 兼行,1月13日,没
原口 統三,1月14日,生
蜷川 新,1月14日,生
日本経済新聞社,1月14日,生
堺 利彦,1月15日,生
土田 杏村,1月15日,生
石原 純,1月15日,生
今村 恒夫,1月15日,生
橋本 多佳子,1月15日,生
川田 順,1月15日,生
小栗 風葉,1月15日,没
楢崎 竜,1月15日,没
葛西 善蔵,1月16日,生
古川 緑波,1月16日,没
大杉 栄,1月17日,生
谷 譲次,1月17日,生
林 不忘,1月17日,生
牧 逸馬,1月17日,生
河野 広道,1月17日,生
板倉 勝宣,1月17日,没
波多野 精一,1月17日,没
高良 とみ,1月17日,没
石川 千代松,1月17日,没
河井 酔茗,1月17日,没
石原 莞爾,1月18日,生
高群 逸枝,1月18日,生
森田 正馬,1月18日,生
三宅 やす子,1月18日,没
牧野 富太郎,1月18日,没
小金井 喜美子,1月19日,生
勝 海舟,1月19日,没
石原 純,1月19日,没
岩野 泡鳴,1月20日,生
尾崎 放哉,1月20日,生
徳永 直,1月20日,生
実吉 捷郎,1月20日,生
伊藤 野枝,1月21日,生
別所 梅之助,1月21日,生
宮本 百合子,1月21日,没
杉田 久女,1月21日,没
田山 花袋,1月22日,生
浅野 正恭,1月22日,生
川田 順,1月22日,没
山路 愛山,1月23日,生
小林 一三,1月23日,生
西郷 隆盛,1月23日,生
堺 利彦,1月23日,没
新島 襄,1月23日,没
斎藤 緑雨,1月24日,生
河本 大作,1月24日,生
幸徳 秋水,1月24日,没
火野 葦平,1月24日,没
条野 採菊,1月24日,没
北原 白秋,1月25日,生
三沢 勝衛,1月25日,生
火野 葦平,1月25日,生
百田 宗治,1月25日,生
小林 一三,1月25日,没
村井 弦斎,1月26日,生
小金井 喜美子,1月26日,没
桑原 隲蔵,1月27日,生
矢内原 忠雄,1月27日,生
素木 しづ,1月27日,没
野口 雨情,1月27日,没
川田 瑞穂,1月27日,没
中山 省三郎,1月28日,生
吉野 作造,1月29日,生
柴崎 芳太郎,1月29日,没
本多 静六,1月29日,没
石川 千代松,1月30日,生
秋田 雨雀,1月30日,生
